,user,item,time_elapsed,outcome,schedulers,introduced,durations,timestamps
0,11.0,601.0,,,2.0,,,
0,11.0,602.0,0,1,2.0,1497922587,3.5,1497922587
0,11.0,602.0,523,0,2.0,1497922587,15,1497923110
0,11.0,602.0,65,0,2.0,1497922587,2,1497923175
0,11.0,602.0,66,0,2.0,1497922587,3,1497923241
0,11.0,602.0,51,1,2.0,1497922587,3.5,1497923292
0,11.0,603.0,0,1,2.0,1497922475,4.5,1497922475
0,11.0,603.0,229,0,2.0,1497922475,15,1497922704
0,11.0,603.0,51,0,2.0,1497922475,11,1497922755
0,11.0,603.0,54,0,2.0,1497922475,15,1497922809
0,11.0,603.0,63,0,2.0,1497922475,15,1497922872
0,11.0,603.0,75,0,2.0,1497922475,11,1497922947
0,11.0,603.0,76,1,2.0,1497922475,8.5,1497923023
0,11.0,603.0,347,0,2.0,1497922475,15,1497923370
0,11.0,603.0,57,0,2.0,1497922475,7,1497923427
0,11.0,603.0,75,0,2.0,1497922475,2,1497923502
0,11.0,603.0,91,0,2.0,1497922475,15,1497923593
0,11.0,603.0,73,0,2.0,1497922475,15,1497923666
0,11.0,603.0,81,0,2.0,1497922475,12,1497923747
0,11.0,604.0,0,1,2.0,1497922542,5.5,1497922542
0,11.0,604.0,459,0,2.0,1497922542,15,1497923001
0,11.0,604.0,79,0,2.0,1497922542,10,1497923080
0,11.0,604.0,84,0,2.0,1497922542,6,1497923164
0,11.0,604.0,58,0,2.0,1497922542,15,1497923222
0,11.0,604.0,66,1,2.0,1497922542,9.5,1497923288
0,11.0,605.0,0,1,2.0,1497922430,4.5,1497922430
0,11.0,605.0,170,0,2.0,1497922430,10,1497922600
0,11.0,605.0,50,0,2.0,1497922430,15,1497922650
0,11.0,605.0,36,0,2.0,1497922430,7,1497922686
0,11.0,605.0,55,1,2.0,1497922430,14.5,1497922741
0,11.0,605.0,457,0,2.0,1497922430,6,1497923198
0,11.0,605.0,79,1,2.0,1497922430,7.5,1497923277
0,11.0,605.0,436,0,2.0,1497922430,15,1497923713
0,11.0,606.0,,,2.0,,,
0,11.0,607.0,,,2.0,,,
0,11.0,608.0,0,1,2.0,1497922500,5.5,1497922500
0,11.0,608.0,273,0,2.0,1497922500,15,1497922773
0,11.0,608.0,52,0,2.0,1497922500,12,1497922825
0,11.0,608.0,65,0,2.0,1497922500,15,1497922890
0,11.0,608.0,75,0,2.0,1497922500,15,1497922965
0,11.0,608.0,76,0,2.0,1497922500,15,1497923041
0,11.0,608.0,81,0,2.0,1497922500,9,1497923122
0,11.0,608.0,67,0,2.0,1497922500,4,1497923189
0,11.0,608.0,80,0,2.0,1497922500,6,1497923269
0,11.0,608.0,67,0,2.0,1497922500,15,1497923336
0,11.0,608.0,66,0,2.0,1497922500,11,1497923402
0,11.0,608.0,79,0,2.0,1497922500,15,1497923481
0,11.0,608.0,63,0,2.0,1497922500,5,1497923544
0,11.0,608.0,80,0,2.0,1497922500,10,1497923624
0,11.0,608.0,71,0,2.0,1497922500,15,1497923695
0,11.0,609.0,,,2.0,,,
0,11.0,610.0,0,1,2.0,1497922440,2.5,1497922440
0,11.0,610.0,174,0,2.0,1497922440,11,1497922614
0,11.0,610.0,48,0,2.0,1497922440,8,1497922662
0,11.0,610.0,46,1,2.0,1497922440,3.5,1497922708
0,11.0,610.0,473,0,2.0,1497922440,3,1497923181
0,11.0,610.0,78,0,2.0,1497922440,15,1497923259
0,11.0,610.0,59,0,2.0,1497922440,8,1497923318
0,11.0,610.0,70,0,2.0,1497922440,15,1497923388
0,11.0,610.0,75,0,2.0,1497922440,15,1497923463
0,11.0,610.0,73,0,2.0,1497922440,15,1497923536
0,11.0,610.0,75,0,2.0,1497922440,15,1497923611
0,11.0,610.0,60,0,2.0,1497922440,2,1497923671
0,11.0,610.0,95,0,2.0,1497922440,15,1497923766
0,11.0,611.0,,,2.0,,,
0,11.0,612.0,0,1,2.0,1497922530,7.5,1497922530
0,11.0,612.0,402,1,2.0,1497922530,11.5,1497922932
0,11.0,613.0,,,2.0,,,
0,11.0,614.0,0,1,2.0,1497922463,5.5,1497922463
0,11.0,614.0,213,1,2.0,1497922463,5.5,1497922676
0,11.0,614.0,672,0,2.0,1497922463,9,1497923348
0,11.0,614.0,139,1,2.0,1497922463,5.5,1497923487
0,11.0,615.0,,,2.0,,,
0,11.0,616.0,0,1,2.0,1497922451,3.5,1497922451
0,11.0,616.0,181,0,2.0,1497922451,15,1497922632
0,11.0,616.0,38,1,2.0,1497922451,7.5,1497922670
0,11.0,616.0,499,0,2.0,1497922451,2,1497923169
0,11.0,616.0,65,1,2.0,1497922451,11.5,1497923234
0,11.0,616.0,443,0,2.0,1497922451,3,1497923677
0,11.0,617.0,0,1,2.0,1497922567,6.5,1497922567
0,11.0,617.0,483,0,2.0,1497922567,6,1497923050
0,11.0,617.0,81,1,2.0,1497922567,8.5,1497923131
0,11.0,617.0,387,1,2.0,1497922567,10.5,1497923518
0,11.0,618.0,0,1,2.0,1497922576,2.5,1497922576
0,11.0,618.0,491,0,2.0,1497922576,3,1497923067
0,11.0,618.0,87,0,2.0,1497922576,8,1497923154
0,11.0,618.0,50,1,2.0,1497922576,5.5,1497923204
0,11.0,618.0,425,1,2.0,1497922576,4.5,1497923629
0,11.0,619.0,,,2.0,,,
0,11.0,620.0,0,1,2.0,1497922554,4.5,1497922554
0,11.0,620.0,459,0,2.0,1497922554,9,1497923013
0,11.0,620.0,79,1,2.0,1497922554,11.5,1497923092
0,11.0,620.0,353,0,2.0,1497922554,15,1497923445
0,11.0,620.0,62,1,2.0,1497922554,3.5,1497923507
0,11.0,621.0,,,2.0,,,
0,11.0,622.0,,,2.0,,,
0,11.0,623.0,,,2.0,,,
0,11.0,624.0,,,2.0,,,
0,11.0,625.0,,,2.0,,,
0,11.0,626.0,0,1,2.0,1497922515,7.5,1497922515
0,11.0,626.0,329,0,2.0,1497922515,15,1497922844
0,11.0,626.0,63,0,2.0,1497922515,14,1497922907
0,11.0,626.0,76,0,2.0,1497922515,15,1497922983
0,11.0,626.0,78,0,2.0,1497922515,8,1497923061
0,11.0,626.0,81,1,2.0,1497922515,10.5,1497923142
0,11.0,626.0,415,1,2.0,1497922515,12.5,1497923557
0,11.0,627.0,,,2.0,,,
0,11.0,628.0,,,2.0,,,
0,11.0,629.0,0,1,2.0,1497922488,5.5,1497922488
0,11.0,629.0,238,0,2.0,1497922488,15,1497922726
0,11.0,629.0,65,0,2.0,1497922488,15,1497922791
0,11.0,629.0,63,0,2.0,1497922488,7,1497922854
0,11.0,629.0,66,1,2.0,1497922488,11.5,1497922920
0,11.0,629.0,386,0,2.0,1497922488,11,1497923306
0,11.0,629.0,45,0,2.0,1497922488,0,1497923351
0,11.0,629.0,66,0,2.0,1497922488,12,1497923417
0,11.0,629.0,79,0,2.0,1497922488,6,1497923496
0,11.0,629.0,79,0,2.0,1497922488,15,1497923575
0,11.0,629.0,72,0,2.0,1497922488,15,1497923647
0,11.0,629.0,84,0,2.0,1497922488,14,1497923731
0,11.0,630.0,,,2.0,,,
0,11.0,631.0,0,1,3.0,1497923953,5.5,1497923953
0,11.0,631.0,443,0,3.0,1497923953,7,1497924396
0,11.0,631.0,286,0,3.0,1497923953,3,1497924682
0,11.0,631.0,181,0,3.0,1497923953,1,1497924863
0,11.0,632.0,0,0,3.0,1497923978,15,1497923978
0,11.0,632.0,11,0,3.0,1497923978,26,1497923989
0,11.0,632.0,416,0,3.0,1497923978,5,1497924405
0,11.0,632.0,281,0,3.0,1497923978,1,1497924686
0,11.0,632.0,1,0,3.0,1497923978,2,1497924687
0,11.0,632.0,0,0,3.0,1497923978,2,1497924687
0,11.0,632.0,0,0,3.0,1497923978,2,1497924687
0,11.0,632.0,1,0,3.0,1497923978,3,1497924688
0,11.0,632.0,0,0,3.0,1497923978,3,1497924688
0,11.0,632.0,1,0,3.0,1497923978,4,1497924689
0,11.0,632.0,180,0,3.0,1497923978,3,1497924869
0,11.0,633.0,0,1,3.0,1497924418,6.5,1497924418
0,11.0,633.0,455,0,3.0,1497924418,1,1497924873
0,11.0,633.0,0,0,3.0,1497924418,1,1497924873
0,11.0,633.0,1,0,3.0,1497924418,2,1497924874
0,11.0,633.0,0,0,3.0,1497924418,2,1497924874
0,11.0,633.0,0,0,3.0,1497924418,2,1497924874
0,11.0,633.0,0,0,3.0,1497924418,2,1497924874
0,11.0,633.0,1,0,3.0,1497924418,3,1497924875
0,11.0,633.0,0,0,3.0,1497924418,3,1497924875
0,11.0,633.0,0,0,3.0,1497924418,3,1497924875
0,11.0,633.0,1,0,3.0,1497924418,4,1497924876
0,11.0,633.0,0,0,3.0,1497924418,4,1497924876
0,11.0,633.0,0,0,3.0,1497924418,4,1497924876
0,11.0,633.0,1,0,3.0,1497924418,5,1497924877
0,11.0,633.0,1,0,3.0,1497924418,6,1497924878
0,11.0,633.0,1,0,3.0,1497924418,7,1497924879
0,11.0,633.0,0,0,3.0,1497924418,7,1497924879
0,11.0,633.0,0,0,3.0,1497924418,7,1497924879
0,11.0,633.0,1,0,3.0,1497924418,8,1497924880
0,11.0,633.0,1,0,3.0,1497924418,9,1497924881
0,11.0,633.0,0,0,3.0,1497924418,9,1497924881
0,11.0,634.0,0,1,3.0,1497924009,3.5,1497924009
0,11.0,634.0,418,0,3.0,1497924009,6,1497924427
0,11.0,634.0,270,0,3.0,1497924009,5,1497924697
0,11.0,635.0,0,1,3.0,1497924020,3.5,1497924020
0,11.0,635.0,414,0,3.0,1497924020,4,1497924434
0,11.0,635.0,270,0,3.0,1497924020,3,1497924704
0,11.0,636.0,0,0,3.0,1497924045,15,1497924045
0,11.0,636.0,397,0,3.0,1497924045,5,1497924442
0,11.0,636.0,268,0,3.0,1497924045,3,1497924710
0,11.0,637.0,0,0,3.0,1497924063,8,1497924063
0,11.0,637.0,385,0,3.0,1497924063,3,1497924448
0,11.0,637.0,267,0,3.0,1497924063,2,1497924715
0,11.0,638.0,0,0,3.0,1497924087,15,1497924087
0,11.0,638.0,367,0,3.0,1497924087,2,1497924454
0,11.0,638.0,270,0,3.0,1497924087,6,1497924724
0,11.0,639.0,0,1,3.0,1497924099,4.5,1497924099
0,11.0,639.0,360,0,3.0,1497924099,2,1497924459
0,11.0,639.0,271,0,3.0,1497924099,3,1497924730
0,11.0,640.0,0,0,3.0,1497924116,7,1497924116
0,11.0,640.0,350,0,3.0,1497924116,4,1497924466
0,11.0,640.0,270,0,3.0,1497924116,3,1497924736
0,11.0,641.0,0,1,3.0,1497924130,6.5,1497924130
0,11.0,641.0,345,0,3.0,1497924130,6,1497924475
0,11.0,641.0,266,0,3.0,1497924130,2,1497924741
0,11.0,642.0,0,1,3.0,1497924141,4.5,1497924141
0,11.0,642.0,341,0,3.0,1497924141,4,1497924482
0,11.0,642.0,265,0,3.0,1497924141,3,1497924747
0,11.0,643.0,0,1,3.0,1497924160,11.5,1497924160
0,11.0,643.0,332,0,3.0,1497924160,7,1497924492
0,11.0,643.0,262,0,3.0,1497924160,4,1497924754
0,11.0,644.0,0,1,3.0,1497924170,3.5,1497924170
0,11.0,644.0,328,0,3.0,1497924170,3,1497924498
0,11.0,644.0,262,0,3.0,1497924170,2,1497924760
0,11.0,645.0,0,1,3.0,1497924182,4.5,1497924182
0,11.0,645.0,327,0,3.0,1497924182,8,1497924509
0,11.0,645.0,258,0,3.0,1497924182,4,1497924767
0,11.0,646.0,0,1,3.0,1497924197,8.5,1497924197
0,11.0,646.0,316,0,3.0,1497924197,1,1497924513
0,11.0,646.0,0,0,3.0,1497924197,1,1497924513
0,11.0,646.0,2,0,3.0,1497924197,3,1497924515
0,11.0,646.0,259,0,3.0,1497924197,4,1497924774
0,11.0,647.0,0,1,3.0,1497924208,3.5,1497924208
0,11.0,647.0,312,0,3.0,1497924208,2,1497924520
0,11.0,647.0,261,0,3.0,1497924208,4,1497924781
0,11.0,648.0,0,1,3.0,1497924223,7.5,1497924223
0,11.0,648.0,303,0,3.0,1497924223,2,1497924526
0,11.0,648.0,261,0,3.0,1497924223,2,1497924787
0,11.0,649.0,0,1,3.0,1497924234,4.5,1497924234
0,11.0,649.0,296,0,3.0,1497924234,0,1497924530
0,11.0,649.0,262,1,3.0,1497924234,4.5,1497924792
0,11.0,650.0,0,1,3.0,1497924246,5.5,1497924246
0,11.0,650.0,291,0,3.0,1497924246,4,1497924537
0,11.0,650.0,0,0,3.0,1497924246,4,1497924537
0,11.0,650.0,1,0,3.0,1497924246,5,1497924538
0,11.0,650.0,259,0,3.0,1497924246,2,1497924797
0,11.0,651.0,0,0,3.0,1497924270,14,1497924270
0,11.0,651.0,281,0,3.0,1497924270,10,1497924551
0,11.0,651.0,251,0,3.0,1497924270,2,1497924802
0,11.0,652.0,0,1,3.0,1497924286,8.5,1497924286
0,11.0,652.0,275,0,3.0,1497924286,6,1497924561
0,11.0,652.0,246,0,3.0,1497924286,2,1497924807
0,11.0,653.0,0,1,3.0,1497924296,2.5,1497924296
0,11.0,653.0,269,0,3.0,1497924296,1,1497924565
0,11.0,653.0,249,0,3.0,1497924296,4,1497924814
0,11.0,654.0,0,1,3.0,1497924308,4.5,1497924308
0,11.0,654.0,266,0,3.0,1497924308,6,1497924574
0,11.0,654.0,245,0,3.0,1497924308,2,1497924819
0,11.0,655.0,0,0,3.0,1497924322,4,1497924322
0,11.0,655.0,270,0,3.0,1497924322,15,1497924592
0,11.0,655.0,233,0,3.0,1497924322,3,1497924825
0,11.0,656.0,0,1,3.0,1497924334,4.5,1497924334
0,11.0,656.0,276,0,3.0,1497924334,15,1497924610
0,11.0,656.0,223,0,3.0,1497924334,4,1497924833
0,11.0,657.0,0,1,3.0,1497924347,5.5,1497924347
0,11.0,657.0,281,0,3.0,1497924347,15,1497924628
0,11.0,657.0,212,0,3.0,1497924347,4,1497924840
0,11.0,658.0,0,1,3.0,1497924361,6.5,1497924361
0,11.0,658.0,280,0,3.0,1497924361,10,1497924641
0,11.0,658.0,202,0,3.0,1497924361,0,1497924843
0,11.0,659.0,0,1,3.0,1497924372,4.5,1497924372
0,11.0,659.0,288,0,3.0,1497924372,15,1497924660
0,11.0,659.0,191,0,3.0,1497924372,4,1497924851
0,11.0,660.0,0,1,3.0,1497924386,6.5,1497924386
0,11.0,660.0,289,0,3.0,1497924386,12,1497924675
0,11.0,660.0,183,0,3.0,1497924386,4,1497924858
0,12.0,661.0,0,0,2.0,1497922525,6,1497922525
0,12.0,661.0,37,0,2.0,1497922525,14,1497922562
0,12.0,661.0,30,1,2.0,1497922525,7.5,1497922592
0,12.0,661.0,460,0,2.0,1497922525,9,1497923052
0,12.0,661.0,93,0,2.0,1497922525,15,1497923145
0,12.0,661.0,74,0,2.0,1497922525,14,1497923219
0,12.0,661.0,73,0,2.0,1497922525,6,1497923292
0,12.0,661.0,66,0,2.0,1497922525,8,1497923358
0,12.0,661.0,88,0,2.0,1497922525,8,1497923446
0,12.0,661.0,114,0,2.0,1497922525,14,1497923560
0,12.0,661.0,75,0,2.0,1497922525,10,1497923635
0,12.0,661.0,58,0,2.0,1497922525,5,1497923693
0,12.0,662.0,,,2.0,,,
0,12.0,663.0,,,2.0,,,
0,12.0,664.0,,,2.0,,,
0,12.0,665.0,,,2.0,,,
0,12.0,666.0,0,1,2.0,1497922429,4.5,1497922429
0,12.0,666.0,180,0,2.0,1497922429,14,1497922609
0,12.0,666.0,58,0,2.0,1497922429,15,1497922667
0,12.0,666.0,57,0,2.0,1497922429,14,1497922724
0,12.0,666.0,62,0,2.0,1497922429,12,1497922786
0,12.0,666.0,59,0,2.0,1497922429,12,1497922845
0,12.0,666.0,75,0,2.0,1497922429,9,1497922920
0,12.0,666.0,59,1,2.0,1497922429,4.5,1497922979
0,12.0,666.0,556,0,2.0,1497922429,32,1497923535
0,12.0,666.0,87,1,2.0,1497922429,5.5,1497923622
0,12.0,667.0,0,1,2.0,1497922573,3.5,1497922573
0,12.0,667.0,432,0,2.0,1497922573,23,1497923005
0,12.0,667.0,56,0,2.0,1497922573,5,1497923061
0,12.0,667.0,98,0,2.0,1497922573,11,1497923159
0,12.0,667.0,75,1,2.0,1497922573,13.5,1497923234
0,12.0,667.0,442,0,2.0,1497922573,5,1497923676
0,12.0,667.0,52,0,2.0,1497922573,6,1497923728
0,12.0,668.0,,,2.0,,,
0,12.0,669.0,,,2.0,,,
0,12.0,670.0,,,2.0,,,
0,12.0,671.0,,,2.0,,,
0,12.0,672.0,,,2.0,,,
0,12.0,673.0,,,2.0,,,
0,12.0,674.0,0,1,2.0,1497922441,4.5,1497922441
0,12.0,674.0,189,0,2.0,1497922441,8,1497922630
0,12.0,674.0,59,1,2.0,1497922441,7.5,1497922689
0,12.0,674.0,390,0,2.0,1497922441,15,1497923079
0,12.0,674.0,87,0,2.0,1497922441,4,1497923166
0,12.0,674.0,80,0,2.0,1497922441,8,1497923246
0,12.0,674.0,73,0,2.0,1497922441,15,1497923319
0,12.0,674.0,63,1,2.0,1497922441,9.5,1497923382
0,12.0,674.0,337,1,2.0,1497922441,14.5,1497923719
0,12.0,675.0,,,2.0,,,
0,12.0,676.0,,,2.0,,,
0,12.0,677.0,0,1,2.0,1497922499,8.5,1497922499
0,12.0,677.0,331,0,2.0,1497922499,5,1497922830
0,12.0,677.0,78,0,2.0,1497922499,11,1497922908
0,12.0,677.0,65,1,2.0,1497922499,7.5,1497922973
0,12.0,677.0,514,0,2.0,1497922499,4,1497923487
0,12.0,677.0,111,0,2.0,1497922499,11,1497923598
0,12.0,677.0,70,1,2.0,1497922499,13.5,1497923668
0,12.0,678.0,,,2.0,,,
0,12.0,679.0,,,2.0,,,
0,12.0,680.0,0,1,2.0,1497922473,2.5,1497922473
0,12.0,680.0,336,0,2.0,1497922473,5,1497922809
0,12.0,680.0,77,0,2.0,1497922473,15,1497922886
0,12.0,680.0,71,0,2.0,1497922473,12,1497922957
0,12.0,680.0,83,0,2.0,1497922473,12,1497923040
0,12.0,680.0,87,0,2.0,1497922473,15,1497923127
0,12.0,680.0,74,0,2.0,1497922473,11,1497923201
0,12.0,680.0,82,0,2.0,1497922473,15,1497923283
0,12.0,680.0,64,0,2.0,1497922473,4,1497923347
0,12.0,680.0,88,0,2.0,1497922473,15,1497923435
0,12.0,680.0,107,1,2.0,1497922473,6.5,1497923542
0,12.0,681.0,,,2.0,,,
0,12.0,682.0,,,2.0,,,
0,12.0,683.0,,,2.0,,,
0,12.0,684.0,0,1,2.0,1497922452,3.5,1497922452
0,12.0,684.0,197,0,2.0,1497922452,15,1497922649
0,12.0,684.0,58,0,2.0,1497922452,15,1497922707
0,12.0,684.0,64,0,2.0,1497922452,15,1497922771
0,12.0,684.0,51,1,2.0,1497922452,4.5,1497922822
0,12.0,684.0,479,0,2.0,1497922452,6,1497923301
0,12.0,684.0,70,0,2.0,1497922452,10,1497923371
0,12.0,684.0,82,1,2.0,1497922452,6.5,1497923453
0,12.0,685.0,,,2.0,,,
0,12.0,686.0,0,0,2.0,1497922544,9,1497922544
0,12.0,686.0,40,0,2.0,1497922544,8,1497922584
0,12.0,686.0,34,0,2.0,1497922544,6,1497922618
0,12.0,686.0,62,0,2.0,1497922544,10,1497922680
0,12.0,686.0,54,0,2.0,1497922544,7,1497922734
0,12.0,686.0,59,0,2.0,1497922544,4,1497922793
0,12.0,686.0,62,0,2.0,1497922544,7,1497922855
0,12.0,686.0,80,0,2.0,1497922544,11,1497922935
0,12.0,686.0,81,0,2.0,1497922544,7,1497923016
0,12.0,686.0,81,0,2.0,1497922544,15,1497923097
0,12.0,686.0,1,0,2.0,1497922544,16,1497923098
0,12.0,686.0,80,0,2.0,1497922544,8,1497923178
0,12.0,686.0,87,0,2.0,1497922544,15,1497923265
0,12.0,686.0,75,0,2.0,1497922544,11,1497923340
0,12.0,686.0,77,0,2.0,1497922544,14,1497923417
0,12.0,686.0,83,0,2.0,1497922544,10,1497923500
0,12.0,686.0,116,0,2.0,1497922544,15,1497923616
0,12.0,686.0,69,0,2.0,1497922544,6,1497923685
0,12.0,686.0,56,0,2.0,1497922544,10,1497923741
0,12.0,687.0,0,1,2.0,1497922510,4.5,1497922510
0,12.0,687.0,432,0,2.0,1497922510,4,1497922942
0,12.0,687.0,83,0,2.0,1497922510,6,1497923025
0,12.0,687.0,83,0,2.0,1497922510,7,1497923108
0,12.0,687.0,78,1,2.0,1497922510,6.5,1497923186
0,12.0,687.0,461,1,2.0,1497922510,10.5,1497923647
0,12.0,688.0,,,2.0,,,
0,12.0,689.0,0,1,2.0,1497922484,4.5,1497922484
0,12.0,689.0,333,0,2.0,1497922484,5,1497922817
0,12.0,689.0,76,0,2.0,1497922484,4,1497922893
0,12.0,689.0,71,1,2.0,1497922484,5.5,1497922964
0,12.0,689.0,503,0,2.0,1497922484,11,1497923467
0,12.0,689.0,100,1,2.0,1497922484,6.5,1497923567
0,12.0,690.0,0,1,2.0,1497922463,3.5,1497922463
0,12.0,690.0,290,0,2.0,1497922463,16,1497922753
0,12.0,690.0,48,0,2.0,1497922463,4,1497922801
0,12.0,690.0,67,1,2.0,1497922463,12.5,1497922868
0,12.0,690.0,458,0,2.0,1497922463,4,1497923326
0,12.0,690.0,74,0,2.0,1497922463,15,1497923400
0,12.0,690.0,79,0,2.0,1497922463,9,1497923479
0,12.0,690.0,105,0,2.0,1497922463,14,1497923584
0,12.0,690.0,70,0,2.0,1497922463,4,1497923654
0,12.0,690.0,49,0,2.0,1497922463,7,1497923703
0,12.0,691.0,0,1,3.0,1497923821,4.5,1497923821
0,12.0,691.0,344,0,3.0,1497923821,6,1497924165
0,12.0,691.0,508,0,3.0,1497923821,15,1497924673
0,12.0,691.0,440,0,3.0,1497923821,5,1497925113
0,12.0,692.0,0,1,3.0,1497923830,2.5,1497923830
0,12.0,692.0,346,0,3.0,1497923830,8,1497924176
0,12.0,692.0,509,1,3.0,1497923830,10.5,1497924685
0,12.0,692.0,439,0,3.0,1497923830,7,1497925124
0,12.0,693.0,0,1,3.0,1497923841,3.5,1497923841
0,12.0,693.0,353,0,3.0,1497923841,15,1497924194
0,12.0,693.0,499,1,3.0,1497923841,7.5,1497924693
0,12.0,693.0,449,0,3.0,1497923841,15,1497925142
0,12.0,694.0,0,1,3.0,1497923855,6.5,1497923855
0,12.0,694.0,357,0,3.0,1497923855,15,1497924212
0,12.0,694.0,492,1,3.0,1497923855,10.5,1497924704
0,12.0,694.0,456,0,3.0,1497923855,15,1497925160
0,12.0,695.0,0,1,3.0,1497923865,2.5,1497923865
0,12.0,695.0,355,0,3.0,1497923865,5,1497924220
0,12.0,695.0,502,0,3.0,1497923865,15,1497924722
0,12.0,695.0,0,0,3.0,1497923865,15,1497924722
0,12.0,695.0,456,0,3.0,1497923865,14,1497925178
0,12.0,696.0,0,1,3.0,1497923878,5.5,1497923878
0,12.0,696.0,360,0,3.0,1497923878,14,1497924238
0,12.0,696.0,945,0,3.0,1497923878,1,1497925183
0,12.0,697.0,0,1,3.0,1497923891,6.5,1497923891
0,12.0,697.0,366,0,3.0,1497923891,15,1497924257
0,12.0,697.0,482,0,3.0,1497923891,13,1497924739
0,12.0,697.0,462,0,3.0,1497923891,15,1497925201
0,12.0,698.0,0,1,3.0,1497923901,3.5,1497923901
0,12.0,698.0,374,0,3.0,1497923901,15,1497924275
0,12.0,698.0,471,0,3.0,1497923901,4,1497924746
0,12.0,698.0,473,0,3.0,1497923901,15,1497925219
0,12.0,699.0,0,1,3.0,1497923913,4.5,1497923913
0,12.0,699.0,380,0,3.0,1497923913,15,1497924293
0,12.0,699.0,461,0,3.0,1497923913,5,1497924754
0,12.0,699.0,483,0,3.0,1497923913,14,1497925237
0,12.0,700.0,0,1,3.0,1497923924,3.5,1497923924
0,12.0,700.0,387,0,3.0,1497923924,15,1497924311
0,12.0,700.0,461,0,3.0,1497923924,14,1497924772
0,12.0,700.0,483,0,3.0,1497923924,14,1497925255
0,12.0,701.0,0,1,3.0,1497923935,4.5,1497923935
0,12.0,701.0,394,0,3.0,1497923935,15,1497924329
