p_recall,timestamp,time_elapsed,user_id,item_id,history_seen,history_correct
0.75,1158292743,114,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,2,2
0.75,1158292845,102,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,3,3
0.75,1158292929,84,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,4,4
0.75,1158293027,98,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,5,5
0.75,1158293096,69,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,6,6
0.75,1158293143,47,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,7,7
0.25,1158816344,523201,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,8,8
0.75,1158817287,943,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,9,8
0.75,1158902458,85171,Stu_02ca13a7135ccf439555b3bffd18a936,he_wav/T/ta1.wav_Lessons1-2,10,9
0.75,1158293127,267,Stu_02ca13a7135ccf439555b3bffd18a936,teacher_wav/L/lao3shi1.wav_Lessons1-2,2,2
0.25,1158816338,523211,Stu_02ca13a7135ccf439555b3bffd18a936,teacher_wav/L/lao3shi1.wav_Lessons1-2,3,3
0.75,1158902465,86127,Stu_02ca13a7135ccf439555b3bffd18a936,teacher_wav/L/lao3shi1.wav_Lessons1-2,4,3
0.75,1158293087,217,Stu_02ca13a7135ccf439555b3bffd18a936,student_wav/X/xue2sheng.wav_Lessons1-2,2,2
0.75,1158293396,309,Stu_02ca13a7135ccf439555b3bffd18a936,student_wav/X/xue2sheng.wav_Lessons1-2,3,3
0.75,1158817318,523922,Stu_02ca13a7135ccf439555b3bffd18a936,student_wav/X/xue2sheng.wav_Lessons1-2,4,4
0.75,1158902687,85369,Stu_02ca13a7135ccf439555b3bffd18a936,student_wav/X/xue2sheng.wav_Lessons1-2,5,5
0.75,1158293066,244,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_wav/L/lao3shi1.wav_Lessons1-2,2,2
0.75,1158902721,609655,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_wav/L/lao3shi1.wav_Lessons1-2,3,3
0.75,1158293113,274,Stu_02ca13a7135ccf439555b3bffd18a936,xue2sheng_wav/X/xue2sheng.wav_Lessons1-2,2,2
0.75,1158902828,609715,Stu_02ca13a7135ccf439555b3bffd18a936,xue2sheng_wav/X/xue2sheng.wav_Lessons1-2,3,3
0.25,1158292916,163,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,2,2
0.75,1158292952,36,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,3,2
0.75,1158293015,63,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,4,3
0.75,1158293119,104,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,5,4
0.75,1158293207,88,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,6,5
0.75,1158816401,523194,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,7,6
0.75,1158816827,426,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,8,7
0.75,1158817105,278,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,9,8
0.75,1158817261,156,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,10,9
0.75,1158902674,85413,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,11,10
0.75,1158902697,23,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_wav/T/ta1.wav_Lessons1-2,12,11
0.75,1158293046,212,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_老師_Lessons1-2,2,2
0.25,1158293223,177,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_老師_Lessons1-2,3,3
0.75,1158902496,609273,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_老師_Lessons1-2,4,3
0.75,1158902733,237,Stu_02ca13a7135ccf439555b3bffd18a936,lao3shi1_老師_Lessons1-2,5,4
0.75,1158293101,275,Stu_02ca13a7135ccf439555b3bffd18a936,xue2sheng_學生_Lessons1-2,2,2
0.25,1158902849,609748,Stu_02ca13a7135ccf439555b3bffd18a936,xue2sheng_學生_Lessons1-2,3,3
0.75,1158292848,111,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_他_Lessons1-2,2,2
0.75,1158292993,145,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_他_Lessons1-2,3,3
0.75,1158293109,116,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_他_Lessons1-2,4,4
0.75,1158293382,273,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_他_Lessons1-2,5,5
0.75,1158902587,609205,Stu_02ca13a7135ccf439555b3bffd18a936,ta1_他_Lessons1-2,6,6
0.75,1158292615,69,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,2,0
0.75,1158292763,148,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,3,1
0.75,1158292817,54,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,4,2
0.75,1158292897,80,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,5,3
0.75,1158292988,91,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,6,4
0.75,1158293061,73,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,7,5
0.75,1158293153,92,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,8,6
0.75,1158817271,524118,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,9,7
0.25,1158902596,85325,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,10,8
0.75,1158902630,34,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,11,8
0.75,1158902774,144,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,12,9
0.75,1158902842,68,Stu_02ca13a7135ccf439555b3bffd18a936,be_wav/S/shi4.wav_Lessons1-2,13,10
0.75,1158292878,150,Stu_02ca13a7135ccf439555b3bffd18a936,study_wav/X/xue2.wav_Lessons1-2,2,2
0.75,1158293021,143,Stu_02ca13a7135ccf439555b3bffd18a936,study_wav/X/xue2.wav_Lessons1-2,3,3
0.75,1158293201,180,Stu_02ca13a7135ccf439555b3bffd18a936,study_wav/X/xue2.wav_Lessons1-2,4,4
0.75,1158817283,524082,Stu_02ca13a7135ccf439555b3bffd18a936,study_wav/X/xue2.wav_Lessons1-2,5,5
0.75,1158902622,85339,Stu_02ca13a7135ccf439555b3bffd18a936,study_wav/X/xue2.wav_Lessons1-2,6,6
0.75,1158292924,203,Stu_02ca13a7135ccf439555b3bffd18a936,ma_wav/M/ma.wav_Lessons1-2,2,2
0.75,1158293121,197,Stu_02ca13a7135ccf439555b3bffd18a936,ma_wav/M/ma.wav_Lessons1-2,3,3
0.75,1158817309,524188,Stu_02ca13a7135ccf439555b3bffd18a936,ma_wav/M/ma.wav_Lessons1-2,4,4
0.75,1158902512,85203,Stu_02ca13a7135ccf439555b3bffd18a936,ma_wav/M/ma.wav_Lessons1-2,5,5
0.75,1158292962,161,Stu_02ca13a7135ccf439555b3bffd18a936,question_wav/M/ma.wav_Lessons1-2,2,2
0.75,1158293178,216,Stu_02ca13a7135ccf439555b3bffd18a936,question_wav/M/ma.wav_Lessons1-2,3,3
0.75,1158817328,524150,Stu_02ca13a7135ccf439555b3bffd18a936,question_wav/M/ma.wav_Lessons1-2,4,4
0.75,1158902835,85507,Stu_02ca13a7135ccf439555b3bffd18a936,question_wav/M/ma.wav_Lessons1-2,5,5
0.75,1158292906,182,Stu_02ca13a7135ccf439555b3bffd18a936,shi4_wav/S/shi4.wav_Lessons1-2,2,2
0.75,1158293146,240,Stu_02ca13a7135ccf439555b3bffd18a936,shi4_wav/S/shi4.wav_Lessons1-2,3,3
0.75,1158902681,609535,Stu_02ca13a7135ccf439555b3bffd18a936,shi4_wav/S/shi4.wav_Lessons1-2,4,4
0.75,1158292901,151,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_wav/X/xue2.wav_Lessons1-2,2,2
0.75,1158293053,152,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_wav/X/xue2.wav_Lessons1-2,3,3
0.75,1158293183,130,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_wav/X/xue2.wav_Lessons1-2,4,4
0.75,1158817306,524123,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_wav/X/xue2.wav_Lessons1-2,5,5
0.75,1158902451,85145,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_wav/X/xue2.wav_Lessons1-2,6,6
0.75,1158292883,153,Stu_02ca13a7135ccf439555b3bffd18a936,ma_嗎_Lessons1-2,2,2
0.75,1158293006,123,Stu_02ca13a7135ccf439555b3bffd18a936,ma_嗎_Lessons1-2,3,3
0.75,1158293156,150,Stu_02ca13a7135ccf439555b3bffd18a936,ma_嗎_Lessons1-2,4,4
0.75,1158902420,609264,Stu_02ca13a7135ccf439555b3bffd18a936,ma_嗎_Lessons1-2,5,5
0.75,1158292891,150,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_學_Lessons1-2,2,2
0.75,1158293040,149,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_學_Lessons1-2,3,3
0.75,1158293133,93,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_學_Lessons1-2,4,4
0.75,1158902423,609290,Stu_02ca13a7135ccf439555b3bffd18a936,xue2_學_Lessons1-2,5,5
0.75,1158292702,91,Stu_02ca13a7135ccf439555b3bffd18a936,I_wav/W/wo3.wav_Lessons1-2,2,1
0.75,1158292746,44,Stu_02ca13a7135ccf439555b3bffd18a936,I_wav/W/wo3.wav_Lessons1-2,3,2
