outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_seen,history_correct,exponential
True,1158292743,114,1,1,assessment,2,2,1.8
True,1158292845,102,1,1,assessment,3,3,2.44
True,1158292929,84,1,1,assessment,4,4,2.952
True,1158293027,98,1,1,assessment,5,5,3.3616
True,1158293096,69,1,1,assessment,6,6,3.68928
True,1158293143,47,1,1,assessment,7,7,3.951424
False,1158816344,523201,1,1,assessment,8,8,4.1611392
True,1158817287,943,1,1,assessment,9,8,3.32891136
True,1158902458,85171,1,1,assessment,10,9,3.663129088
True,1158293127,267,1,2,assessment,2,2,1.8
False,1158816338,523211,1,2,assessment,3,3,2.44
True,1158902465,86127,1,2,assessment,4,3,1.952
True,1158293087,217,1,3,assessment,2,2,1.8
True,1158293396,309,1,3,assessment,3,3,2.44
True,1158817318,523922,1,3,assessment,4,4,2.952
True,1158902687,85369,1,3,assessment,5,5,3.3616
True,1158293066,244,1,4,assessment,2,2,1.8
True,1158902721,609655,1,4,assessment,3,3,2.44
True,1158293113,274,1,5,assessment,2,2,1.8
True,1158902828,609715,1,5,assessment,3,3,2.44
False,1158292916,163,1,6,assessment,2,2,1.8
True,1158292952,36,1,6,assessment,3,2,1.44
True,1158293015,63,1,6,assessment,4,3,2.152
True,1158293119,104,1,6,assessment,5,4,2.7216
True,1158293207,88,1,6,assessment,6,5,3.17728
True,1158816401,523194,1,6,assessment,7,6,3.541824
True,1158816827,426,1,6,assessment,8,7,3.8334592
True,1158817105,278,1,6,assessment,9,8,4.06676736
True,1158817261,156,1,6,assessment,10,9,4.253413888
True,1158902674,85413,1,6,assessment,11,10,4.4027311104
True,1158902697,23,1,6,assessment,12,11,4.52218488832
True,1158293046,212,1,7,assessment,2,2,1.8
False,1158293223,177,1,7,assessment,3,3,2.44
True,1158902496,609273,1,7,assessment,4,3,1.952
True,1158902733,237,1,7,assessment,5,4,2.5616
True,1158293101,275,1,8,assessment,2,2,1.8
False,1158902849,609748,1,8,assessment,3,3,2.44
True,1158292848,111,1,9,assessment,2,2,1.8
True,1158292993,145,1,9,assessment,3,3,2.44
True,1158293109,116,1,9,assessment,4,4,2.952
True,1158293382,273,1,9,assessment,5,5,3.3616
True,1158902587,609205,1,9,assessment,6,6,3.68928
True,1158292615,69,1,10,assessment,2,0,0.0
True,1158292763,148,1,10,assessment,3,1,1.0
True,1158292817,54,1,10,assessment,4,2,1.8
True,1158292897,80,1,10,assessment,5,3,2.44
True,1158292988,91,1,10,assessment,6,4,2.952
True,1158293061,73,1,10,assessment,7,5,3.3616
True,1158293153,92,1,10,assessment,8,6,3.68928
True,1158817271,524118,1,10,assessment,9,7,3.951424
False,1158902596,85325,1,10,assessment,10,8,4.1611392
True,1158902630,34,1,10,assessment,11,8,3.32891136
True,1158902774,144,1,10,assessment,12,9,3.663129088
True,1158902842,68,1,10,assessment,13,10,3.9305032704
True,1158292878,150,1,11,assessment,2,2,1.8
True,1158293021,143,1,11,assessment,3,3,2.44
True,1158293201,180,1,11,assessment,4,4,2.952
True,1158817283,524082,1,11,assessment,5,5,3.3616
True,1158902622,85339,1,11,assessment,6,6,3.68928
True,1158292924,203,1,12,assessment,2,2,1.8
True,1158293121,197,1,12,assessment,3,3,2.44
True,1158817309,524188,1,12,assessment,4,4,2.952
True,1158902512,85203,1,12,assessment,5,5,3.3616
True,1158292962,161,1,13,assessment,2,2,1.8
True,1158293178,216,1,13,assessment,3,3,2.44
True,1158817328,524150,1,13,assessment,4,4,2.952
True,1158902835,85507,1,13,assessment,5,5,3.3616
True,1158292906,182,1,14,assessment,2,2,1.8
True,1158293146,240,1,14,assessment,3,3,2.44
True,1158902681,609535,1,14,assessment,4,4,2.952
True,1158292901,151,1,15,assessment,2,2,1.8
True,1158293053,152,1,15,assessment,3,3,2.44
True,1158293183,130,1,15,assessment,4,4,2.952
True,1158817306,524123,1,15,assessment,5,5,3.3616
True,1158902451,85145,1,15,assessment,6,6,3.68928
True,1158292883,153,1,16,assessment,2,2,1.8
True,1158293006,123,1,16,assessment,3,3,2.44
True,1158293156,150,1,16,assessment,4,4,2.952
True,1158902420,609264,1,16,assessment,5,5,3.3616
True,1158292891,150,1,17,assessment,2,2,1.8
True,1158293040,149,1,17,assessment,3,3,2.44
True,1158293133,93,1,17,assessment,4,4,2.952
True,1158902423,609290,1,17,assessment,5,5,3.3616
True,1158292702,91,1,18,assessment,2,1,1.0
True,1158292746,44,1,18,assessment,3,2,1.8
True,1158292815,69,1,18,assessment,4,3,2.44
True,1158292867,52,1,18,assessment,5,4,2.952
True,1158292911,44,1,18,assessment,6,5,3.3616
True,1158293002,91,1,18,assessment,7,6,3.68928
True,1158293035,33,1,18,assessment,8,7,3.951424
True,1158293091,56,1,18,assessment,9,8,4.1611392
True,1158293151,60,1,18,assessment,10,9,4.32891136
True,1158902614,609463,1,18,assessment,11,10,4.463129088
