outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1170298218,16,1,1,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298751,533,1,1,assessment,1,1,1.0,1,1,0.5,16.0,-0.63
True,1170298856,105,1,1,assessment,2,1,1.8,1,2,0.666666666667,274.5,-0.63
True,1170298884,28,1,1,assessment,3,1,2.44,1,3,0.75,218.0,-0.63
True,1170298945,61,1,1,assessment,4,1,2.952,1,4,0.8,170.5,-0.63
True,1170298976,31,1,1,assessment,5,1,3.3616,1,5,0.833333333333,148.6,-0.63
True,1170299027,51,1,1,assessment,6,1,3.68928,1,6,0.857142857143,129.0,-0.63
False,1170299066,39,1,1,assessment,7,1,3.951424,1,7,0.875,117.857142857,-0.63
True,1170299956,890,1,1,assessment,7,2,3.1611392,1,7,0.777777777778,108.0,-0.63
True,1170300133,177,1,1,assessment,8,2,3.52891136,1,7,0.8,194.888888889,-0.63
True,1170300249,116,1,1,assessment,9,2,3.823129088,1,7,0.818181818182,193.1,-0.63
True,1170300381,132,1,1,assessment,10,2,4.0585032704,1,7,0.833333333333,186.090909091,-0.63
True,1170300489,108,1,1,assessment,11,2,4.24680261632,1,7,0.846153846154,181.583333333,-0.63
True,1170300627,138,1,1,assessment,12,2,4.39744209306,1,7,0.857142857143,175.923076923,-0.63
True,1170300739,112,1,1,assessment,13,2,4.51795367444,1,7,0.866666666667,173.214285714,-0.63
True,1170300914,175,1,1,assessment,14,2,4.61436293956,1,7,0.875,169.133333333,-0.63
True,1172797666,2496752,1,1,assessment,15,2,4.69149035164,1,8,0.882352941176,169.5,-0.63
True,1170298220,12,1,2,assessment,0,1,0.0,1,0,0.0,0,-0.63
False,1170298720,500,1,2,assessment,1,1,1.0,1,1,0.5,12.0,-0.63
True,1170298757,37,1,2,assessment,1,2,0.8,1,1,0.333333333333,256.0,-0.63
True,1170298833,76,1,2,assessment,2,2,1.64,1,1,0.5,183.0,-0.63
True,1170298925,92,1,2,assessment,3,2,2.312,1,2,0.6,156.25,-0.63
True,1170298965,40,1,2,assessment,4,2,2.8496,1,3,0.666666666667,143.4,-0.63
True,1170298990,25,1,2,assessment,5,2,3.27968,1,4,0.714285714286,126.166666667,-0.63
True,1170299029,39,1,2,assessment,6,2,3.623744,1,5,0.75,111.714285714,-0.63
True,1170299061,32,1,2,assessment,7,2,3.8989952,1,6,0.777777777778,102.625,-0.63
True,1170299083,22,1,2,assessment,8,2,4.11919616,1,7,0.8,94.7777777778,-0.63
True,1170299920,837,1,2,assessment,9,2,4.295356928,1,8,0.818181818182,87.5,-0.63
True,1170300054,134,1,2,assessment,10,2,4.4362855424,1,9,0.833333333333,155.636363636,-0.63
True,1170300207,153,1,2,assessment,11,2,4.54902843392,1,10,0.846153846154,153.833333333,-0.63
True,1170300294,87,1,2,assessment,12,2,4.63922274714,1,11,0.857142857143,153.769230769,-0.63
True,1170300390,96,1,2,assessment,13,2,4.71137819771,1,12,0.866666666667,149.0,-0.63
True,1170300437,47,1,2,assessment,14,2,4.76910255817,1,13,0.875,145.466666667,-0.63
True,1170300524,87,1,2,assessment,15,2,4.81528204653,1,14,0.882352941176,139.3125,-0.63
True,1170300624,100,1,2,assessment,16,2,4.85222563723,1,15,0.888888888889,136.235294118,-0.63
True,1170300701,77,1,2,assessment,17,2,4.88178050978,1,16,0.894736842105,134.222222222,-0.63
True,1170300757,56,1,2,assessment,18,2,4.90542440783,1,17,0.9,131.210526316,-0.63
True,1170300886,129,1,2,assessment,19,2,4.92433952626,1,18,0.904761904762,127.45,-0.63
True,1170300962,76,1,2,assessment,20,2,4.93947162101,1,19,0.909090909091,127.523809524,-0.63
True,1172797627,2496665,1,2,assessment,21,2,4.95157729681,1,20,0.913043478261,125.181818182,-0.63
True,1170298223,8,1,3,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298715,492,1,3,assessment,1,1,1.0,1,1,0.5,8.0,-0.63
True,1170298815,100,1,3,assessment,2,1,1.8,1,2,0.666666666667,250.0,-0.63
True,1170298878,63,1,3,assessment,3,1,2.44,1,3,0.75,200.0,-0.63
True,1170298937,59,1,3,assessment,4,1,2.952,1,4,0.8,165.75,-0.63
True,1170298984,47,1,3,assessment,5,1,3.3616,1,5,0.833333333333,144.4,-0.63
True,1170299033,49,1,3,assessment,6,1,3.68928,1,6,0.857142857143,128.166666667,-0.63
True,1170299081,48,1,3,assessment,7,1,3.951424,1,7,0.875,116.857142857,-0.63
True,1170299961,880,1,3,assessment,8,1,4.1611392,1,8,0.888888888889,108.25,-0.63
True,1170300185,224,1,3,assessment,9,1,4.32891136,1,9,0.9,194.0,-0.63
True,1170300318,133,1,3,assessment,10,1,4.463129088,1,10,0.909090909091,197.0,-0.63
