outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1170569862,12,1,1,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569903,41,1,1,assessment,2,0,1.8,0,2,1.0,12.0,-0.63
True,1170569919,16,1,1,assessment,3,0,2.44,0,3,1.0,26.5,-0.63
True,1170569931,12,1,1,assessment,4,0,2.952,0,4,1.0,23.0,-0.63
True,1171836355,1266424,1,1,assessment,5,0,3.3616,0,5,1.0,20.25,-0.63
True,1171836368,13,1,1,assessment,6,0,3.68928,0,6,1.0,253301.0,-0.63
True,1171836381,13,1,1,assessment,7,0,3.951424,0,7,1.0,211086.333333,-0.63
True,1171836390,9,1,1,assessment,8,0,4.1611392,0,8,1.0,180933.0,-0.63
True,1171836400,10,1,1,assessment,9,0,4.32891136,0,9,1.0,158317.5,-0.63
True,1171836412,12,1,1,assessment,10,0,4.463129088,0,10,1.0,140727.777778,-0.63
True,1171836432,20,1,1,assessment,11,0,4.5705032704,0,11,1.0,126656.2,-0.63
True,1170569870,10,1,2,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569905,35,1,2,assessment,2,0,1.8,0,2,1.0,10.0,-0.63
True,1170569920,15,1,2,assessment,3,0,2.44,0,3,1.0,22.5,-0.63
True,1170569933,13,1,2,assessment,4,0,2.952,0,4,1.0,20.0,-0.63
True,1171836353,1266420,1,2,assessment,5,0,3.3616,0,5,1.0,18.25,-0.63
True,1171836365,12,1,2,assessment,6,0,3.68928,0,6,1.0,253298.6,-0.63
True,1171836378,13,1,2,assessment,7,0,3.951424,0,7,1.0,211084.166667,-0.63
True,1171836387,9,1,2,assessment,8,0,4.1611392,0,8,1.0,180931.142857,-0.63
True,1171836397,10,1,2,assessment,9,0,4.32891136,0,9,1.0,158315.875,-0.63
True,1171836409,12,1,2,assessment,10,0,4.463129088,0,10,1.0,140726.333333,-0.63
True,1171836429,20,1,2,assessment,11,0,4.5705032704,0,11,1.0,126654.9,-0.63
True,1171836447,18,1,2,assessment,12,0,4.65640261632,0,12,1.0,115142.636364,-0.63
True,1170569879,12,1,3,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569911,32,1,3,assessment,2,0,1.8,0,2,1.0,12.0,-0.63
True,1170569925,14,1,3,assessment,3,0,2.44,0,3,1.0,22.0,-0.63
True,1170569938,13,1,3,assessment,4,0,2.952,0,4,1.0,19.3333333333,-0.63
True,1171836351,1266413,1,3,assessment,5,0,3.3616,0,5,1.0,17.75,-0.63
True,1171836363,12,1,3,assessment,6,0,3.68928,0,6,1.0,253296.8,-0.63
True,1171836374,11,1,3,assessment,7,0,3.951424,0,7,1.0,211082.666667,-0.63
True,1171836386,12,1,3,assessment,8,0,4.1611392,0,8,1.0,180929.571429,-0.63
True,1171836395,9,1,3,assessment,9,0,4.32891136,0,9,1.0,158314.875,-0.63
True,1171836407,12,1,3,assessment,10,0,4.463129088,0,10,1.0,140725.333333,-0.63
True,1171836427,20,1,3,assessment,11,0,4.5705032704,0,11,1.0,126654.0,-0.63
True,1171836445,18,1,3,assessment,12,0,4.65640261632,0,12,1.0,115141.818182,-0.63
True,1170569889,13,1,4,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569912,23,1,4,assessment,2,0,1.8,0,2,1.0,13.0,-0.63
True,1170569926,14,1,4,assessment,3,0,2.44,0,3,1.0,18.0,-0.63
True,1171836357,1266431,1,4,assessment,4,0,2.952,0,4,1.0,16.6666666667,-0.63
True,1171836366,9,1,4,assessment,5,0,3.3616,0,5,1.0,316620.25,-0.63
True,1171836379,13,1,4,assessment,6,0,3.68928,0,6,1.0,253298.0,-0.63
True,1171836388,9,1,4,assessment,7,0,3.951424,0,7,1.0,211083.833333,-0.63
True,1171836399,11,1,4,assessment,8,0,4.1611392,0,8,1.0,180930.285714,-0.63
True,1171836410,11,1,4,assessment,9,0,4.32891136,0,9,1.0,158315.375,-0.63
True,1171836430,20,1,4,assessment,10,0,4.463129088,0,10,1.0,140726.0,-0.63
True,1171836453,23,1,4,assessment,11,0,4.5705032704,0,11,1.0,126655.4,-0.63
True,1170569895,8,1,5,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569914,19,1,5,assessment,2,0,1.8,0,2,1.0,8.0,-0.63
True,1170569928,14,1,5,assessment,3,0,2.44,0,3,1.0,13.5,-0.63
True,1171836358,1266430,1,5,assessment,4,0,2.952,0,4,1.0,13.6666666667,-0.63
True,1171836369,11,1,5,assessment,5,0,3.3616,0,5,1.0,316617.75,-0.63
True,1171836382,13,1,5,assessment,6,0,3.68928,0,6,1.0,253296.4,-0.63
True,1171836391,9,1,5,assessment,7,0,3.951424,0,7,1.0,211082.5,-0.63
True,1171836401,10,1,5,assessment,8,0,4.1611392,0,8,1.0,180929.142857,-0.63
True,1171836415,14,1,5,assessment,9,0,4.32891136,0,9,1.0,158314.25,-0.63
True,1171836438,23,1,5,assessment,10,0,4.463129088,0,10,1.0,140725.333333,-0.63
True,1170569901,7,1,6,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569916,15,1,6,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1170569930,14,1,6,assessment,3,0,2.44,0,3,1.0,11.0,-0.63
True,1171836361,1266431,1,6,assessment,4,0,2.952,0,4,1.0,12.0,-0.63
True,1171836371,10,1,6,assessment,5,0,3.3616,0,5,1.0,316616.75,-0.63
True,1171836383,12,1,6,assessment,6,0,3.68928,0,6,1.0,253295.4,-0.63
True,1171836393,10,1,6,assessment,7,0,3.951424,0,7,1.0,211081.5,-0.63
True,1171836403,10,1,6,assessment,8,0,4.1611392,0,8,1.0,180928.428571,-0.63
True,1171836420,17,1,6,assessment,9,0,4.32891136,0,9,1.0,158313.625,-0.63
True,1171836439,19,1,6,assessment,10,0,4.463129088,0,10,1.0,140725.111111,-0.63
True,1170569907,7,1,7,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170569922,15,1,7,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1170569935,13,1,7,assessment,3,0,2.44,0,3,1.0,11.0,-0.63
