outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_seen,history_correct,exponential
False,1144633113,61,1,1,assessment,2,0,0.0
True,1144634152,1039,1,1,assessment,3,0,0.0
True,1144635124,972,1,1,assessment,4,1,1.0
True,1144698812,63688,1,1,assessment,5,2,1.8
False,1144633075,20,1,2,assessment,2,0,0.0
True,1144634127,1052,1,2,assessment,3,0,0.0
True,1144634655,528,1,2,assessment,4,1,1.0
True,1144698974,64319,1,2,assessment,5,2,1.8
False,1144633117,82,1,3,assessment,2,0,0.0
True,1144634241,1124,1,3,assessment,3,0,0.0
True,1144635135,894,1,3,assessment,4,1,1.0
True,1144698820,63685,1,3,assessment,5,2,1.8
False,1144633114,73,1,4,assessment,2,0,0.0
True,1144634140,1026,1,4,assessment,3,0,0.0
True,1144635132,992,1,4,assessment,4,1,1.0
True,1144698817,63685,1,4,assessment,5,2,1.8
False,1144633109,96,1,5,assessment,2,0,0.0
True,1144634147,1038,1,5,assessment,3,0,0.0
True,1144634741,594,1,5,assessment,4,1,1.0
True,1144635547,806,1,5,assessment,5,2,1.8
True,1144698981,63434,1,5,assessment,6,3,2.44
False,1144634115,990,1,6,assessment,2,0,0.0
True,1144634469,354,1,6,assessment,3,0,0.0
True,1144635510,1041,1,6,assessment,4,1,1.0
True,1144698653,63143,1,6,assessment,5,2,1.8
True,1144634489,367,1,7,assessment,2,0,0.0
True,1144634748,259,1,7,assessment,3,1,1.0
True,1144635550,802,1,7,assessment,4,2,1.8
True,1144698985,63435,1,7,assessment,5,3,2.44
False,1144634506,531,1,8,assessment,2,0,0.0
True,1144634633,127,1,8,assessment,3,0,0.0
True,1144635544,911,1,8,assessment,4,1,1.0
True,1144698893,63349,1,8,assessment,5,2,1.8
True,1144634477,524,1,9,assessment,2,0,0.0
False,1144635167,690,1,9,assessment,3,1,1.0
True,1144635336,169,1,9,assessment,4,1,0.8
True,1144635474,138,1,9,assessment,5,2,1.64
True,1144698676,63202,1,9,assessment,6,3,2.312
False,1144634324,299,1,10,assessment,2,0,0.0
False,1144634532,208,1,10,assessment,3,0,0.0
True,1144634640,108,1,10,assessment,4,0,0.0
True,1144635235,595,1,10,assessment,5,1,1.0
True,1144699028,63793,1,10,assessment,6,2,1.8
False,1144634398,939,1,11,assessment,2,0,0.0
False,1144634538,140,1,11,assessment,3,0,0.0
True,1144634630,92,1,11,assessment,4,0,0.0
True,1144635480,850,1,11,assessment,5,1,1.0
True,1144699033,63553,1,11,assessment,6,2,1.8
False,1144634276,318,1,12,assessment,2,0,0.0
False,1144634515,239,1,12,assessment,3,0,0.0
True,1144634637,122,1,12,assessment,4,0,0.0
True,1144635233,596,1,12,assessment,5,1,1.0
True,1144698702,63469,1,12,assessment,6,2,1.8
False,1144634571,279,1,13,assessment,2,0,0.0
True,1144634624,53,1,13,assessment,3,0,0.0
True,1144635238,614,1,13,assessment,4,1,1.0
False,1144698710,63472,1,13,assessment,5,2,1.8
True,1144783924,397,1,14,assessment,2,0,0.0
True,1144872595,88671,1,14,assessment,3,1,1.0
True,1144872684,89,1,14,assessment,4,2,1.8
True,1144872726,42,1,14,assessment,5,3,2.44
True,1144872756,30,1,14,assessment,6,4,2.952
True,1144872809,53,1,14,assessment,7,5,3.3616
False,1144783581,7,1,15,assessment,2,0,0.0
True,1144783944,363,1,15,assessment,3,0,0.0
True,1144872629,88685,1,15,assessment,4,1,1.0
True,1144872675,46,1,15,assessment,5,2,1.8
True,1144872703,28,1,15,assessment,6,3,2.44
True,1144872735,32,1,15,assessment,7,4,2.952
True,1144872794,59,1,15,assessment,8,5,3.3616
False,1144783907,341,1,16,assessment,2,0,0.0
True,1144783954,47,1,16,assessment,3,0,0.0
True,1144872613,88659,1,16,assessment,4,1,1.0
False,1144872667,54,1,16,assessment,5,2,1.8
True,1144872686,19,1,16,assessment,6,2,1.44
True,1144872695,9,1,16,assessment,7,3,2.152
True,1144872737,42,1,16,assessment,8,4,2.7216
True,1144872791,54,1,16,assessment,9,5,3.17728
True,1144872638,89107,1,17,assessment,2,1,1.0
True,1144872700,62,1,17,assessment,3,2,1.8
True,1144872733,33,1,17,assessment,4,3,2.44
True,1144872773,40,1,17,assessment,5,4,2.952
False,1144783888,387,1,18,assessment,2,0,0.0
True,1144783961,73,1,18,assessment,3,0,0.0
True,1144872652,88691,1,18,assessment,4,1,1.0
True,1144872721,69,1,18,assessment,5,2,1.8
True,1144872763,42,1,18,assessment,6,3,2.44
True,1144872803,40,1,18,assessment,7,4,2.952
True,1144783919,371,1,19,assessment,2,0,0.0
True,1144872654,88735,1,19,assessment,3,1,1.0
True,1144872712,58,1,19,assessment,4,2,1.8
True,1144872745,33,1,19,assessment,5,3,2.44
True,1144872769,24,1,19,assessment,6,4,2.952
True,1144872646,89129,1,20,assessment,2,1,1.0
True,1144872707,61,1,20,assessment,3,2,1.8
True,1144872758,51,1,20,assessment,4,3,2.44
True,1144872796,38,1,20,assessment,5,4,2.952
True,1144872632,89111,1,21,assessment,2,1,1.0
True,1144872681,49,1,21,assessment,3,2,1.8
True,1144872716,35,1,21,assessment,4,3,2.44
True,1144872765,49,1,21,assessment,5,4,2.952
True,1144872805,40,1,21,assessment,6,5,3.3616
True,1144872620,89114,1,22,assessment,2,1,1.0
True,1144872679,59,1,22,assessment,3,2,1.8
