p_recall,timestamp,time_elapsed,user_id,item_id,history_seen,history_correct,exponential
0.75,1190202099,88,1,28,2,1,1.0
0.75,1190202293,194,1,28,3,2,1.8
0.75,1190202525,232,1,28,4,3,2.44
0.75,1190202987,462,1,28,5,4,2.952
0.75,1190203539,552,1,28,6,5,3.3616
0.75,1190204273,734,1,28,7,6,3.68928
0.75,1190205189,916,1,28,8,7,3.951424
0.75,1190206276,1087,1,28,9,8,4.1611392
0.75,1190206890,614,1,28,10,9,4.32891136
0.75,1190207441,551,1,28,11,10,4.463129088
0.25,1190202067,39,1,29,2,0,0.0
0.75,1190202084,17,1,29,3,0,0.0
0.25,1190202202,118,1,29,4,1,1.0
0.75,1190202240,38,1,29,5,1,0.8
0.75,1190202479,239,1,29,6,2,1.64
0.25,1190202844,365,1,29,7,3,2.312
0.75,1190202863,19,1,29,8,3,1.8496
0.75,1190203330,467,1,29,9,4,2.47968
0.25,1190204026,696,1,29,10,5,2.983744
0.75,1190204063,37,1,29,11,5,2.3869952
0.75,1190204897,834,1,29,12,6,2.90959616
0.75,1190206011,1114,1,29,13,7,3.327676928
0.75,1190206810,799,1,29,14,8,3.6621415424
0.75,1190207363,553,1,29,15,9,3.92971323392
0.75,1190202121,88,1,30,2,1,1.0
0.75,1190202322,201,1,30,3,2,1.8
0.75,1190202547,225,1,30,4,3,2.44
0.75,1190202996,449,1,30,5,4,2.952
0.75,1190203544,548,1,30,6,5,3.3616
0.75,1190204278,734,1,30,7,6,3.68928
0.75,1190205193,915,1,30,8,7,3.951424
0.75,1190206248,1055,1,30,9,8,4.1611392
0.75,1190206886,638,1,30,10,9,4.32891136
0.75,1190207436,550,1,30,11,10,4.463129088
0.75,1190202178,98,1,31,2,1,1.0
0.75,1190202353,175,1,31,3,2,1.8
0.25,1190202580,227,1,31,4,3,2.44
0.75,1190202614,34,1,31,5,3,1.952
0.75,1190203001,387,1,31,6,4,2.5616
0.75,1190203562,561,1,31,7,5,3.04928
0.75,1190204294,732,1,31,8,6,3.439424
0.75,1190205206,912,1,31,9,7,3.7515392
0.75,1190206290,1084,1,31,10,8,4.00123136
0.75,1190206901,611,1,31,11,9,4.200985088
0.75,1190207452,551,1,31,12,10,4.3607880704
0.75,1190202885,473,1,32,2,2,1.8
0.75,1190203376,491,1,32,3,3,2.44
0.75,1190204151,775,1,32,4,4,2.952
0.75,1190205103,952,1,32,5,5,3.3616
0.75,1190206320,1217,1,32,6,6,3.68928
0.75,1190206942,622,1,32,7,7,3.951424
0.75,1190207501,559,1,32,8,8,4.1611392
0.75,1190202259,112,1,33,2,1,1.0
0.75,1190202469,210,1,33,3,2,1.8
0.75,1190202755,286,1,33,4,3,2.44
0.75,1190203160,405,1,33,5,4,2.952
0.75,1190203838,678,1,33,6,5,3.3616
0.75,1190204666,828,1,33,7,6,3.68928
0.75,1190205657,991,1,33,8,7,3.951424
0.75,1190206546,889,1,33,9,8,4.1611392
0.75,1190207103,557,1,33,10,9,4.32891136
0.25,1190202270,115,1,34,2,1,1.0
0.25,1190202300,30,1,34,3,1,0.8
0.75,1190202331,31,1,34,4,1,0.64
0.75,1190202517,186,1,34,5,2,1.512
0.75,1190202882,365,1,34,6,3,2.2096
0.75,1190203305,423,1,34,7,4,2.76768
0.75,1190204007,702,1,34,8,5,3.214144
0.25,1190204845,838,1,34,9,6,3.5713152
0.75,1190204872,27,1,34,10,6,2.85705216
0.75,1190205986,1114,1,34,11,7,3.285641728
0.25,1190206762,776,1,34,12,8,3.6285133824
0.75,1190206786,24,1,34,13,8,2.90281070592
0.75,1190207325,539,1,34,14,9,3.32224856474
0.75,1190202889,448,1,35,2,2,1.8
0.75,1190203396,507,1,35,3,3,2.44
0.75,1190204154,758,1,35,4,4,2.952
0.75,1190205174,1020,1,35,5,5,3.3616
0.25,1190206356,1182,1,35,6,6,3.68928
0.75,1190206370,14,1,35,7,6,2.951424
0.75,1190206961,591,1,35,8,7,3.3611392
0.75,1190207507,546,1,35,9,8,3.68891136
0.75,1190202195,27,1,36,2,0,0.0
0.75,1190202317,122,1,36,3,1,1.0
0.75,1190202502,185,1,36,4,2,1.8
0.25,1190202830,328,1,36,5,3,2.44
0.75,1190202860,30,1,36,6,3,1.952
0.75,1190203248,388,1,36,7,4,2.5616
0.75,1190203972,724,1,36,8,5,3.04928
0.75,1190204812,840,1,36,9,6,3.439424
0.75,1190205912,1100,1,36,10,7,3.7515392
0.75,1190206665,753,1,36,11,8,4.00123136
0.75,1190207256,591,1,36,12,9,4.200985088
0.75,1190202976,464,1,37,2,2,1.8
0.75,1190203568,592,1,37,3,3,2.44
0.75,1190204586,1018,1,37,4,4,2.952
0.75,1190205476,890,1,37,5,5,3.3616
0.75,1190206490,1014,1,37,6,6,3.68928
0.75,1190207070,580,1,37,7,7,3.951424
0.75,1190202286,33,1,38,2,0,0.0
0.75,1190202400,114,1,38,3,1,1.0
0.75,1190202601,201,1,38,4,2,1.8
0.75,1190202970,369,1,38,5,3,2.44
0.75,1190203392,422,1,38,6,4,2.952
0.25,1190204072,680,1,38,7,5,3.3616
0.75,1190204083,11,1,38,8,5,2.68928
0.75,1190204890,807,1,38,9,6,3.151424
0.75,1190205991,1101,1,38,10,7,3.5211392
0.75,1190206792,801,1,38,11,8,3.81691136
0.75,1190207334,542,1,38,12,9,4.053529088
0.75,1190202992,459,1,39,2,2,1.8
0.75,1190203587,595,1,39,3,3,2.44
0.75,1190204643,1056,1,39,4,4,2.952
0.75,1190205615,972,1,39,5,5,3.3616
0.75,1190206504,889,1,39,6,6,3.68928
0.75,1190207093,589,1,39,7,7,3.951424
0.75,1190202461,92,1,40,2,1,1.0
0.75,1190202625,164,1,40,3,2,1.8
