p_recall,timestamp,time_elapsed,user_id,item_id,history_seen,history_correct
0.25,1144156897,92,Stu_1119c210469d90dab7608be3eab9fb29,capital city_la capital_1,2,1
0.75,1144157058,161,Stu_1119c210469d90dab7608be3eab9fb29,capital city_la capital_1,3,1
0.75,1144157237,179,Stu_1119c210469d90dab7608be3eab9fb29,capital city_la capital_1,4,2
0.75,1144157620,383,Stu_1119c210469d90dab7608be3eab9fb29,capital city_la capital_1,5,3
0.25,1144156916,99,Stu_1119c210469d90dab7608be3eab9fb29,boy_el muchacho_1,2,1
0.75,1144157071,155,Stu_1119c210469d90dab7608be3eab9fb29,boy_el muchacho_1,3,1
0.25,1144157258,187,Stu_1119c210469d90dab7608be3eab9fb29,boy_el muchacho_1,4,2
0.25,1144157575,317,Stu_1119c210469d90dab7608be3eab9fb29,boy_el muchacho_1,5,2
0.25,1144156909,27,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,2,0
0.25,1144156940,31,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,3,0
0.75,1144157031,91,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,4,0
0.75,1144157050,19,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,5,1
0.75,1144157064,14,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,6,2
0.75,1144157075,11,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,7,3
0.75,1144157095,20,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,8,4
0.75,1144157130,35,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,9,5
0.75,1144157178,48,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,10,6
0.25,1144157227,49,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,11,7
0.75,1144157250,23,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,12,7
0.75,1144157275,25,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,13,8
0.75,1144157298,23,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,14,9
0.75,1144157346,48,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,15,10
0.75,1144157378,32,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,16,11
0.75,1144157422,44,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,17,12
0.75,1144157496,74,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,18,13
0.75,1144157556,60,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,19,14
0.75,1144157607,51,Stu_1119c210469d90dab7608be3eab9fb29,computer_el ordenador_1,20,15
0.25,1144157468,370,Stu_1119c210469d90dab7608be3eab9fb29,conversation_la conversación_1,2,1
0.25,1144157462,322,Stu_1119c210469d90dab7608be3eab9fb29,day_el día_1,2,1
0.75,1144157170,23,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,2,0
0.25,1144157218,48,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,3,1
0.75,1144157244,26,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,4,1
0.75,1144157281,37,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,5,2
0.25,1144157332,51,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,6,3
0.75,1144157367,35,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,7,3
0.75,1144157410,43,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,8,4
0.75,1144157492,82,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,9,5
0.75,1144157562,70,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,10,6
0.75,1144157641,79,Stu_1119c210469d90dab7608be3eab9fb29,man_el hombre_1,11,7
0.25,1144157446,134,Stu_1119c210469d90dab7608be3eab9fb29,pencil_el lápiz_1,2,0
0.25,1144157567,121,Stu_1119c210469d90dab7608be3eab9fb29,pencil_el lápiz_1,3,0
0.75,1144157652,85,Stu_1119c210469d90dab7608be3eab9fb29,pencil_el lápiz_1,4,0
0.25,1144157440,82,Stu_1119c210469d90dab7608be3eab9fb29,lesson_la lección_1,2,1
0.25,1144157547,107,Stu_1119c210469d90dab7608be3eab9fb29,lesson_la lección_1,3,1
0.25,1144157482,76,Stu_1119c210469d90dab7608be3eab9fb29,nationality_la nacionalidad_1,2,1
0.25,1144157591,109,Stu_1119c210469d90dab7608be3eab9fb29,nationality_la nacionalidad_1,3,1
0.75,1144157477,22,Stu_1119c210469d90dab7608be3eab9fb29,word_la palabra_1,2,0
0.75,1144157515,38,Stu_1119c210469d90dab7608be3eab9fb29,word_la palabra_1,3,1
0.25,1144157582,67,Stu_1119c210469d90dab7608be3eab9fb29,word_la palabra_1,4,2
0.75,1144157630,48,Stu_1119c210469d90dab7608be3eab9fb29,word_la palabra_1,5,2
0.25,1147694490,177,Stu_1119c210469d90dab7608be3eab9fb29,door_la puerta_2,2,1
0.25,1147693886,79,Stu_1119c210469d90dab7608be3eab9fb29,fountain pen_la pluma_2,2,1
0.75,1147694026,140,Stu_1119c210469d90dab7608be3eab9fb29,fountain pen_la pluma_2,3,1
0.25,1147694187,161,Stu_1119c210469d90dab7608be3eab9fb29,fountain pen_la pluma_2,4,2
0.25,1147694421,234,Stu_1119c210469d90dab7608be3eab9fb29,fountain pen_la pluma_2,5,2
0.25,1147693899,81,Stu_1119c210469d90dab7608be3eab9fb29,ballpoint pen_el bolígrafo_2,2,1
0.75,1147694044,145,Stu_1119c210469d90dab7608be3eab9fb29,ballpoint pen_el bolígrafo_2,3,1
0.25,1147694214,170,Stu_1119c210469d90dab7608be3eab9fb29,ballpoint pen_el bolígrafo_2,4,2
0.25,1147694465,251,Stu_1119c210469d90dab7608be3eab9fb29,ballpoint pen_el bolígrafo_2,5,2
0.25,1147694509,188,Stu_1119c210469d90dab7608be3eab9fb29,chair_la silla_2,2,1
0.75,1147694402,383,Stu_1119c210469d90dab7608be3eab9fb29,chalk_la tiza_2,2,1
0.75,1147694237,94,Stu_1119c210469d90dab7608be3eab9fb29,role_el papel_2,2,0
0.75,1147694010,13,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,2,0
0.75,1147694038,28,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,3,1
0.25,1147694112,74,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,4,2
0.25,1147694158,46,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,5,2
0.75,1147694181,23,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,6,2
0.25,1147694228,47,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,7,3
0.25,1147694262,34,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,8,3
0.75,1147694282,20,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,9,3
0.75,1147694305,23,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,10,4
0.75,1147694336,31,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,11,5
0.75,1147694386,50,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,12,6
0.25,1147694443,57,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,13,7
0.25,1147694474,31,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,14,7
0.25,1147694500,26,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,15,7
0.25,1147694527,27,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,16,7
0.25,1147694560,33,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,17,7
0.25,1147694591,31,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,18,7
0.75,1147694609,18,Stu_1119c210469d90dab7608be3eab9fb29,Thursday_jueves_2,19,7
0.75,1147694121,117,Stu_1119c210469d90dab7608be3eab9fb29,Monday_lunes_2,2,1
0.75,1147694289,168,Stu_1119c210469d90dab7608be3eab9fb29,Monday_lunes_2,3,2
0.25,1147694605,316,Stu_1119c210469d90dab7608be3eab9fb29,Monday_lunes_2,4,3
0.25,1147694131,116,Stu_1119c210469d90dab7608be3eab9fb29,Tuesday_martes_2,2,1
0.25,1147694204,73,Stu_1119c210469d90dab7608be3eab9fb29,Tuesday_martes_2,3,1
0.75,1147694275,71,Stu_1119c210469d90dab7608be3eab9fb29,Tuesday_martes_2,4,1
0.75,1147694391,116,Stu_1119c210469d90dab7608be3eab9fb29,Tuesday_martes_2,5,2
0.25,1147694547,156,Stu_1119c210469d90dab7608be3eab9fb29,Tuesday_martes_2,6,3
0.25,1147694152,102,Stu_1119c210469d90dab7608be3eab9fb29,Friday_viernes_2,2,1
0.75,1147694222,70,Stu_1119c210469d90dab7608be3eab9fb29,Friday_viernes_2,3,1
0.25,1147694353,131,Stu_1119c210469d90dab7608be3eab9fb29,Friday_viernes_2,4,2
0.75,1147694428,75,Stu_1119c210469d90dab7608be3eab9fb29,Friday_viernes_2,5,2
0.25,1147694578,150,Stu_1119c210469d90dab7608be3eab9fb29,Friday_viernes_2,6,3
0.25,1147694164,77,Stu_1119c210469d90dab7608be3eab9fb29,Sunday_domingo_2,2,1
0.75,1147694241,77,Stu_1119c210469d90dab7608be3eab9fb29,Sunday_domingo_2,3,1
0.75,1147694376,135,Stu_1119c210469d90dab7608be3eab9fb29,Sunday_domingo_2,4,2
0.75,1147694600,224,Stu_1119c210469d90dab7608be3eab9fb29,Sunday_domingo_2,5,3
0.75,1147694176,84,Stu_1119c210469d90dab7608be3eab9fb29,house_la casa_2,2,1
0.75,1147694350,174,Stu_1119c210469d90dab7608be3eab9fb29,house_la casa_2,3,2
0.75,1147694127,22,Stu_1119c210469d90dab7608be3eab9fb29,course_el curso_2,2,0
0.75,1147694173,46,Stu_1119c210469d90dab7608be3eab9fb29,course_el curso_2,3,1
0.75,1147694246,73,Stu_1119c210469d90dab7608be3eab9fb29,course_el curso_2,4,2
0.75,1147694366,120,Stu_1119c210469d90dab7608be3eab9fb29,course_el curso_2,5,3
0.25,1147694536,170,Stu_1119c210469d90dab7608be3eab9fb29,course_el curso_2,6,4
0.75,1147694373,175,Stu_1119c210469d90dab7608be3eab9fb29,Saturday_sábado_2,2,0
