outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time,activation
True,1144156805,26,1,1,assessment,0,1,0.0,1,0,0.0,0,-0.63
False,1144156897,92,1,1,assessment,1,1,1.0,1,1,0.5,26.0,-0.57668308723
True,1144157058,161,1,1,assessment,1,2,0.8,1,1,0.333333333333,59.0,-0.373030884
True,1144157237,179,1,1,assessment,2,2,1.64,1,1,0.5,93.0,-0.284602046738
True,1144157620,383,1,1,assessment,3,2,2.312,1,2,0.6,114.5,-0.190891627606
True,1144156817,27,1,2,assessment,0,1,0.0,1,0,0.0,0,-0.63
False,1144156916,99,1,2,assessment,1,1,1.0,1,1,0.5,27.0,-0.583363125283
True,1144157071,155,1,2,assessment,1,2,0.8,1,1,0.333333333333,63.0,-0.387109215837
False,1144157258,187,1,2,assessment,2,2,1.64,1,1,0.5,93.6666666667,-0.278454351587
False,1144157575,317,1,2,assessment,2,3,1.312,1,1,0.4,117.0,-0.194856887966
True,1144157523,682,1,5,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1144157153,310,1,6,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1144157528,670,1,7,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1144156882,21,1,8,assessment,0,1,0.0,1,0,0.0,0,-0.63
False,1144156909,27,1,8,assessment,0,2,0.0,2,0,0.0,21.0,-0.538880471477
False,1144156940,31,1,8,assessment,0,3,0.0,3,0,0.0,24.0,-0.137374895426
True,1144157031,91,1,8,assessment,0,4,0.0,4,0,0.0,26.3333333333,0.0393290172739
True,1144157050,19,1,8,assessment,1,4,1.0,4,1,0.2,42.5,-0.0380382945154
True,1144157064,14,1,8,assessment,2,4,1.8,4,2,0.333333333333,37.8,0.229592563517
True,1144157075,11,1,8,assessment,3,4,2.44,4,3,0.428571428571,33.8333333333,0.405272521528
True,1144157095,20,1,8,assessment,4,4,2.952,4,4,0.5,30.5714285714,0.540685789256
True,1144157130,35,1,8,assessment,5,4,3.3616,4,5,0.555555555556,29.25,0.538222299578
True,1144157178,48,1,8,assessment,6,4,3.68928,4,6,0.6,29.8888888889,0.475792702451
False,1144157227,49,1,8,assessment,7,4,3.951424,4,7,0.636363636364,31.7,0.420922833583
True,1144157250,23,1,8,assessment,7,5,3.1611392,4,7,0.583333333333,33.2727272727,0.40846241502
True,1144157275,25,1,8,assessment,8,5,3.52891136,4,7,0.615384615385,32.4166666667,0.506511999712
True,1144157298,23,1,8,assessment,9,5,3.823129088,4,7,0.642857142857,31.8461538462,0.552513558515
True,1144157346,48,1,8,assessment,10,5,4.0585032704,4,7,0.666666666667,31.2142857143,0.597875850043
True,1144157378,32,1,8,assessment,11,5,4.24680261632,4,7,0.6875,32.3333333333,0.529466116066
True,1144157422,44,1,8,assessment,12,5,4.39744209306,4,7,0.705882352941,32.3125,0.56311886137
