Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
1	Control	1_1	Unit 12	To_disappear	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	To_disappear	1	0.5558	Single-KC	1	0.5236	KC23	1	0.5558
2	Control	1_1	Unit 12	To_disappear	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_disappear	2	0.5558	Single-KC	2	0.5236	KC23	2	0.5558
3	Control	1_1	Unit 12	Value	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Value	1	0.4835	Single-KC	3	0.5236	KC46	1	0.4835
4	Control	1_1	Unit 12	Value	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Value	2	0.4835	Single-KC	4	0.5236	KC46	2	0.4835
5	Control	1_1	Unit 12	Wind-force	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Wind-force	1	0.5821	Single-KC	5	0.5236	KC54	1	0.5821
6	Control	1_1	Unit 12	Wind-force	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Wind-force	2	0.5821	Single-KC	6	0.5236	KC54	2	0.5821
7	Control	1_1	Unit 12	Solitude	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Solitude	1	0.5961	Single-KC	7	0.5236	KC56	1	0.5961
8	Control	1_1	Unit 12	Solitude	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Solitude	2	0.5961	Single-KC	8	0.5236	KC56	2	0.5961
9	Control	1_1	Unit 12	Purpose	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Purpose	1	0.6172	Single-KC	9	0.5236	KC24	1	0.6172
10	Control	1_1	Unit 12	Purpose	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Purpose	2	0.6172	Single-KC	10	0.5236	KC24	2	0.6172
