Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
1	Leitner	1_11	Unit 12	To_protect	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	.	.	.	correct	0	0	1	leitner_2 (2_2)	To_protect	1	0.7493	Single-KC	1	0.7390	KC38	1	0.7493
2	Leitner	1_11	Unit 12	To_be_healed	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	To_be_healed	1	0.7160	Single-KC	2	0.7390	KC10	1	0.7160
3	Leitner	1_11	Unit 12	To_proceed	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	To_proceed	1	0.6688	Single-KC	3	0.7390	KC26	1	0.6687
4	Leitner	1_11	Unit 12	Conservation	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	Conservation	1	0.5813	Single-KC	4	0.7390	KC33	1	0.5813
5	Leitner	1_11	Unit 12	Being_left_out	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	Being_left_out	1	0.8838	Single-KC	5	0.7390	KC59	1	0.8837
6	Leitner	1_11	Unit 12	Co2	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	Co2	1	0.6244	Single-KC	6	0.7390	KC20	1	0.6244
7	Leitner	1_11	Unit 12	To_lose	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	leitner_2 (2_2)	To_lose	1	0.7561	Single-KC	7	0.7390	KC2	1	0.7562
8	Leitner	1_11	Unit 12	Earth	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0.2	0.2	.	correct	0	0	1	leitner_2 (2_2)	Earth	1	0.5845	Single-KC	8	0.7390	KC36	1	0.5845
9	Leitner	1_11	Unit 12	Earth	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0.2	.	0.2	incorrect	1	0	0	leitner_2 (2_2)	Earth	2	0.5845	Single-KC	9	0.7390	KC36	2	0.5845
10	Leitner	1_11	Unit 12	Earth	3	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0.2	.	0.2	incorrect	1	0	0	leitner_2 (2_2)	Earth	3	0.5845	Single-KC	10	0.7390	KC36	3	0.5845
11	Leitner	1_11	Unit 12	Earth	4	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0.2	.	0.2	incorrect	1	0	0	leitner_2 (2_2)	Earth	4	0.5845	Single-KC	11	0.7390	KC36	4	0.5845
12	Leitner	1_11	Unit 12	Earth	5	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0.2	0.2	.	correct	0	0	1	leitner_2 (2_2)	Earth	5	0.5845	Single-KC	12	0.7390	KC36	5	0.5845
13	Leitner	1_11	Unit 12	To_protect	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	2	0.7493	Single-KC	13	0.7390	KC38	2	0.7493
14	Leitner	1_11	Unit 12	To_protect	3	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	3	0.7493	Single-KC	14	0.7390	KC38	3	0.7493
15	Leitner	1_11	Unit 12	To_protect	4	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	4	0.7493	Single-KC	15	0.7390	KC38	4	0.7493
16	Leitner	1_11	Unit 12	To_protect	5	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	5	0.7493	Single-KC	16	0.7390	KC38	5	0.7493
17	Leitner	1_11	Unit 12	To_protect	6	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	6	0.7493	Single-KC	17	0.7390	KC38	6	0.7493
18	Leitner	1_11	Unit 12	To_protect	7	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	To_protect	7	0.7493	Single-KC	18	0.7390	KC38	7	0.7493
19	Leitner	1_11	Unit 12	To_protect	8	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	8	0.7493	Single-KC	19	0.7390	KC38	8	0.7493
20	Leitner	1_11	Unit 12	To_protect	9	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_protect	9	0.7493	Single-KC	20	0.7390	KC38	9	0.7493
21	Leitner	1_11	Unit 12	Exhaust_gas	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Exhaust_gas	1	0.4740	Single-KC	21	0.7390	KC14	1	0.4740
22	Leitner	1_11	Unit 12	Exhaust_gas	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Exhaust_gas	2	0.4721	Single-KC	22	0.7390	KC14	2	0.4721
23	Leitner	1_11	Unit 12	Sun	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Sun	1	0.5923	Single-KC	23	0.7390	KC1	1	0.5923
24	Leitner	1_11	Unit 12	Sun	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Sun	2	0.5923	Single-KC	24	0.7390	KC1	2	0.5923
25	Leitner	1_11	Unit 12	Sun	3	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Sun	3	0.5923	Single-KC	25	0.7390	KC1	3	0.5923
26	Leitner	1_11	Unit 12	Sun	4	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Sun	4	0.5923	Single-KC	26	0.7390	KC1	4	0.5923
27	Leitner	1_11	Unit 12	Declining_birth_rate	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Declining_birth_rate	1	0.7850	Single-KC	27	0.7390	KC32	1	0.7850
28	Leitner	1_11	Unit 12	Declining_birth_rate	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Declining_birth_rate	2	0.7809	Single-KC	28	0.7390	KC32	2	0.7810
29	Leitner	1_11	Unit 12	Declining_birth_rate	3	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Declining_birth_rate	3	0.7768	Single-KC	29	0.7390	KC32	3	0.7768
30	Leitner	1_11	Unit 12	Declining_birth_rate	4	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Declining_birth_rate	4	0.7727	Single-KC	30	0.7390	KC32	4	0.7727
31	Leitner	1_11	Unit 12	Declining_birth_rate	5	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	Declining_birth_rate	5	0.7684	Single-KC	31	0.7390	KC32	5	0.7684
32	Leitner	1_11	Unit 12	Declining_birth_rate	6	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	leitner_2 (2_2)	Declining_birth_rate	6	0.7641	Single-KC	32	0.7390	KC32	6	0.7642
33	Leitner	1_11	Unit 12	To_be_healed	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	leitner_2 (2_2)	To_be_healed	2	0.7160	Single-KC	33	0.7390	KC10	2	0.7160
